datetime,open,high,low,close,volume
2024-02-12,1.07903,1.08055,1.07559,1.07637,0
2024-02-13,1.07635,1.07985,1.07005,1.07143,0
2024-02-14,1.07144,1.07354,1.06949,1.07259,0
2024-02-15,1.0726,1.07847,1.0726,1.07593,0
2024-02-16,1.07591,1.07874,1.07319,1.07749,0
2024-02-18,1.07718,1.07889,1.07718,1.07778,0
2024-02-19,1.07779,1.07894,1.07615,1.07689,0
2024-02-20,1.0769,1.08387,1.07651,1.08141,0
2024-02-21,1.08141,1.08321,1.07899,1.08303,0
2024-02-22,1.08302,1.08882,1.08026,1.08254,0
2024-02-23,1.08253,1.08395,1.08117,1.08174,0
2024-02-25,1.08318,1.08322,1.08126,1.08211,0
2024-02-26,1.0821,1.08597,1.08188,1.08534,0
2024-02-27,1.08533,1.08659,1.08318,1.08323,0
2024-02-28,1.08322,1.08458,1.07966,1.08363,0
2024-02-29,1.08363,1.08558,1.07958,1.08135,0
2024-03-01,1.08135,1.08432,1.07981,1.08368,0
2024-03-03,1.08359,1.0848,1.0835,1.08436,0
2024-03-04,1.08435,1.08667,1.08377,1.08505,0
2024-03-05,1.08504,1.0876,1.08403,1.08516,0
2024-03-06,1.08516,1.09153,1.08516,1.09035,0
2024-03-07,1.09034,1.09556,1.08678,1.09456,0
2024-03-08,1.09456,1.09812,1.09183,1.09348,0
2024-03-10,1.09411,1.09465,1.09359,1.09386,0
2024-03-11,1.09386,1.0948,1.09145,1.09368,0
2024-03-12,1.09369,1.09438,1.09023,1.09234,0
2024-03-13,1.09233,1.09638,1.09201,1.09424,0
2024-03-14,1.09424,1.09454,1.0873,1.08763,0
2024-03-15,1.08763,1.08996,1.08732,1.08869,0
2024-03-17,1.08905,1.08917,1.08805,1.08875,0
2024-03-18,1.08875,1.09061,1.08661,1.08706,0
2024-03-19,1.08706,1.08721,1.08347,1.08665,0
2024-03-20,1.08666,1.09389,1.08364,1.09331,0
2024-03-21,1.09331,1.09426,1.08311,1.08332,0
2024-03-22,1.08332,1.08419,1.08017,1.08065,0
2024-03-24,1.08068,1.0822,1.08021,1.08131,0
2024-03-25,1.08131,1.08454,1.08071,1.08401,0
2024-03-26,1.084,1.08643,1.08205,1.08298,0
2024-03-27,1.08298,1.0839,1.0808,1.08234,0
2024-03-28,1.08235,1.08265,1.07736,1.07766,0
2024-03-29,1.07765,1.08051,1.07678,1.07898,0
2024-03-31,1.07882,1.07987,1.07847,1.07903,0
2024-04-01,1.07902,1.07921,1.07295,1.073,0
2024-04-02,1.07302,1.07793,1.07246,1.07772,0
2024-04-03,1.07773,1.08444,1.0764,1.08425,0
2024-04-04,1.08425,1.08765,1.08233,1.08267,0
2024-04-05,1.08266,1.08479,1.07913,1.08352,0
2024-04-07,1.08347,1.08432,1.0823,1.08333,0
2024-04-08,1.08334,1.08635,1.08208,1.08553,0
2024-04-09,1.08554,1.0885,1.08477,1.08529,0
2024-04-10,1.0853,1.08665,1.07288,1.07446,0
2024-04-11,1.07446,1.07564,1.06992,1.0717,0
2024-04-12,1.07171,1.07174,1.06226,1.06385,0
2024-04-14,1.06352,1.06549,1.06309,1.06519,0
2024-04-15,1.06519,1.06651,1.06061,1.06113,0
2024-04-16,1.06114,1.06535,1.0601,1.06271,0
2024-04-17,1.06272,1.06802,1.0606,1.06799,0
2024-04-18,1.06799,1.069,1.06104,1.06371,0
2024-04-19,1.06372,1.06775,1.0627,1.06526,0
2024-04-21,1.06495,1.06706,1.06456,1.06617,0
2024-04-22,1.06617,1.06691,1.06239,1.06561,0
2024-04-23,1.06561,1.07142,1.06385,1.07062,0
2024-04-24,1.07062,1.07088,1.06779,1.07058,0
2024-04-25,1.07058,1.07402,1.06783,1.07231,0
2024-04-26,1.07231,1.07527,1.06738,1.06911,0
2024-04-28,1.06898,1.07199,1.06898,1.07162,0
2024-04-29,1.07161,1.07337,1.06902,1.07054,0
2024-04-30,1.07055,1.07353,1.06558,1.06564,0
2024-05-01,1.06565,1.07326,1.06494,1.07146,0
2024-05-02,1.07147,1.07393,1.06742,1.07348,0
2024-05-03,1.07349,1.08124,1.07244,1.07594,0
2024-05-05,1.076,1.07715,1.07553,1.07648,0
2024-05-06,1.07647,1.07907,1.07576,1.07687,0
2024-05-07,1.07687,1.07873,1.0738,1.07411,0
2024-05-08,1.07411,1.07574,1.0735,1.07476,0
2024-05-09,1.07477,1.07858,1.07239,1.0776,0
2024-05-10,1.07761,1.079,1.07603,1.07694,0
2024-05-12,1.07721,1.07752,1.07658,1.07716,0
2024-05-13,1.07715,1.08068,1.07687,1.07876,0
2024-05-14,1.07876,1.08277,1.07669,1.08261,0
2024-05-15,1.08261,1.08949,1.08205,1.08872,0
2024-05-16,1.08872,1.08872,1.08543,1.0859,0
2024-05-17,1.08588,1.08784,1.08356,1.08674,0
2024-05-19,1.08664,1.08786,1.0864,1.08779,0
2024-05-20,1.0878,1.08844,1.08509,1.08559,0
2024-05-21,1.08557,1.08747,1.08425,1.08556,0
2024-05-22,1.08557,1.08633,1.08174,1.08303,0
2024-05-23,1.08302,1.0861,1.08048,1.08063,0
2024-05-24,1.08063,1.08578,1.08054,1.0846,0
2024-05-26,1.0845,1.08519,1.0843,1.0849,0
2024-05-27,1.08492,1.08785,1.08405,1.08784,0
2024-05-28,1.08784,1.0889,1.08457,1.08471,0
2024-05-29,1.0847,1.08588,1.07938,1.07979,0
2024-05-30,1.07979,1.08451,1.07883,1.08191,0
2024-05-31,1.08193,1.08822,1.08145,1.0845,0
2024-06-02,1.08462,1.08587,1.08453,1.08497,0
2024-06-03,1.08497,1.0916,1.08278,1.09074,0
2024-06-04,1.09074,1.09108,1.0859,1.08784,0
2024-06-05,1.08783,1.08957,1.08544,1.08906,0
2024-06-06,1.08906,1.0902,1.08619,1.08945,0
2024-06-07,1.08944,1.09018,1.07993,1.08017,0
2024-06-09,1.07783,1.07814,1.07554,1.07555,0
2024-06-10,1.07554,1.0769,1.07327,1.07685,0
2024-06-11,1.07683,1.07734,1.07194,1.07402,0
2024-06-12,1.07401,1.08521,1.07355,1.08068,0
2024-06-13,1.08068,1.08163,1.07328,1.07401,0
2024-06-14,1.07401,1.07409,1.06676,1.07025,0
2024-06-16,1.07028,1.07089,1.06989,1.07036,0
2024-06-17,1.07037,1.0741,1.06863,1.07246,0
2024-06-18,1.07246,1.07615,1.07099,1.07377,0
2024-06-19,1.07377,1.07533,1.07248,1.07419,0
2024-06-20,1.07419,1.07449,1.07012,1.07162,0
2024-06-21,1.07162,1.07205,1.0671,1.06918,0
2024-06-23,1.06849,1.06955,1.06837,1.06916,0
2024-06-24,1.06916,1.07463,1.06914,1.07385,0
2024-06-25,1.07385,1.07441,1.06906,1.0711,0
2024-06-26,1.07109,1.07115,1.0666,1.06908,0
2024-06-27,1.06907,1.07264,1.06805,1.06921,0
2024-06-28,1.06921,1.07246,1.06856,1.07119,0
2024-06-30,1.07438,1.07615,1.0732,1.07528,0
2024-07-01,1.07527,1.07763,1.07197,1.07322,0
2024-07-02,1.07323,1.07542,1.071,1.07435,0
2024-07-03,1.07434,1.08168,1.07363,1.07852,0
2024-07-04,1.07852,1.08245,1.07847,1.08218,0
2024-07-05,1.08216,1.08426,1.07993,1.0837,0
2024-07-07,1.08014,1.08363,1.07998,1.08314,0
2024-07-08,1.08314,1.0845,1.08146,1.08281,0
2024-07-09,1.08283,1.08311,1.08054,1.08199,0
2024-07-10,1.082,1.084,1.08118,1.08379,0
2024-07-11,1.08379,1.08999,1.08322,1.08687,0
2024-07-12,1.08686,1.09113,1.08617,1.09054,0
2024-07-14,1.08852,1.08956,1.08818,1.0894,0
2024-07-15,1.0894,1.09222,1.08837,1.0893,0
2024-07-16,1.08929,1.09068,1.08715,1.09061,0
2024-07-17,1.09062,1.0948,1.0895,1.09328,0
2024-07-18,1.09329,1.09388,1.08863,1.08883,0
2024-07-19,1.08883,1.08941,1.08756,1.08779,0
2024-07-21,1.08861,1.09027,1.08807,1.08915,0
2024-07-22,1.08916,1.08967,1.0873,1.08941,0
2024-07-23,1.08941,1.08947,1.08416,1.0845,0
